,name,Date,Divedend_yield_ratio_growth,BPS_growth,PER_growth,EPS_growth,Profit_growth,Revenue_growth,W/L
213,samsung_28,2012-09-28 0:00,-10.44776119,11.20522098,0.515843773,17.54402649,51.44,17.61,1
85,lg_11,2016-12-29 0:00,-0.709219858,-0.03251844,8.25426945,-7.758770243,-6.37,-5.08,1
75,lg_1,2019-06-28 0:00,2.189781022,0.7739460159999999,10.86834734,-7.621079943,-30.25,-3.3,0
135,lotte_24,2013-09-30 0:00,-13.88888889,3.957865338,4.22979798,-4.655589283,36.19,13.23,1
295,hhi_36,2010-09-30 0:00,-5.504587156,4.46392367,-35.35031847,31.87827404,39.37,16.22,1
276,hhi_17,2015-06-30 0:00,4.464285714,-0.024232965,-1.0519801979999999,-1.9074120030000001,8.62,2.69,1
209,samsung_24,2013-09-30 0:00,-8.108108108,6.502855729,-3.1612223389999996,9.599489174,30.13,14.81,1
202,samsung_17,2015-06-30 0:00,28.81355932,3.84435397,6.5266316579999994,-5.955141427,-23.2,-4.64,0
62,gs_25,2013-06-28 0:00,3.825136612,-0.401253051,63.45786747,-17.06919247,-43.47,-5.31,0
220,samsung_35,2010-12-30 0:00,-16.47058824,5.6571563320000005,10.83467095,4.142203863,22.42,5.98,1
183,posco_35,2010-12-30 0:00,-1.57480315,2.478069531,2.992776058,-3.095863,14.71,26.84,0
248,SK_26,2013-03-29 0:00,-3.105590062,0.0,2.605459057,0.0,-10.25,6.23,1
57,gs_20,2014-09-30 0:00,0.0,-5.073270016,-173.6962366,251.7258457,855.43,10.48,0
131,lotte_20,2014-09-30 0:00,2.43902439,0.213427686,0.469728601,-17.18079536,-15.9,-1.42,0
257,SK_35,2010-12-30 0:00,-11.61616162,2.8008559280000003,1.120099564,9.577858102,40.3,9.81,1
47,gs_10,2017-03-31 0:00,-13.14285714,0.0,11.27864897,0.0,34.24,5.58,1
0,hyundai_0,2019-09-30 0:00,0.975609756,3.0482340339999996,-7.142857143,13.17889754,16.56,6.13,0
