Name,Date,MA,EPS,BPS,SPS,PER,PBR,PSR,EV/EBITDA,Profit Growth,Revenue Growth,FYO growth,W/L
samsung_30,2012-06-29 0:00,14347.65067,16993.97,0.74,151283.35,232577.63,13.5,1.67,0.99,6.01,14.32,61.99,0
samsung_31,2012-03-30 0:00,15548.272,16975.7,0.95,143533.29,450087.49,15.72,1.95,1.29,7.21,2.62,-15.84,1
samsung_32,2011-12-29 0:00,14218.31433,16975.7,1.12,143533.29,450087.49,13.31,1.65,1.07,5.97,2.62,-15.84,0
samsung_33,2011-09-30 0:00,14556.122,18315.56,1.28,140021.22,447147.87,10.76,1.48,0.87,4.71,3.47,-22.42,0
samsung_34,2011-06-30 0:00,16118.15333,20279.69,1.08,136079.22,227280.85,11.17,1.66,0.88,4.62,11.14,172.92,1
samsung_35,2011-03-31 0:00,15519.313,18950.54,0.87,128454.29,109128.99,12.17,1.89,1.03,12.37,5.98,22.42,1
samsung_36,2010-12-30 0:00,12726.086,18950.54,0.85,128454.29,109128.99,12.46,1.94,1.04,12.58,5.98,22.42,1
samsung_37,2010-09-30 0:00,11140.297,18165.57,0.99,121187.43,107608.98,11.11,1.76,0.92,11.04,10.54,6.3,1
sk_01,2019-09-30 0:00,8723.177,14015.45,2.45,113990.86,225848.65,7.84,1.02,0.49,4.01,-8.3,-66.33,0
sk_02,2019-06-28 0:00,8991.996667,21624.28,2.6,112134.85,232369.72,5.49,0.98,0.45,3.16,12.29,-33.49,1
sk_03,2019-03-29 0:00,8926.411667,21202.96,2.11,104002.97,222550.69,5.13,1.1,0.5,2.96,21.82,31.21,1
sk_04,2018-12-28 0:00,8529.765667,21204.64,2.31,104011.69,222568.39,4.67,1.01,0.45,2.76,21.82,31.21,1
sk_05,2018-09-28 0:00,7761.897,19934.19,2,97979.53,213674.68,5.79,1.21,0.54,3.23,15.36,66.92,0
sk_06,2018-06-29 0:00,8391.907333,16707.38,1.98,87711.64,202540.35,6.65,1.31,0.57,3.4,35.57,76.42,0
sk_07,2018-03-30 0:00,9534.585,14022.01,1.62,84368.23,195242.15,8.3,1.42,0.62,3.92,15.21,156.33,1
sk_08,2017-12-28 0:00,9480.621667,14023.12,1.62,84375.13,195257.66,8.3,1.42,0.6,3.92,15.21,156.33,0
sk_09,2017-09-29 0:00,9512.247,10725.06,1.59,79429.04,188786.29,11.09,1.54,0.63,4.67,10.62,34.14,0
sk_10,2017-06-30 0:00,9631.997667,6848.09,1.79,74521.67,176948.4,12.31,1.45,0.58,4.67,1.38,52.01,1
sk_11,2017-03-31 0:00,9274.806667,5912.05,1.82,71486.67,176484.2,15.53,1.32,0.52,4.92,2,-8.06,0
sk_12,2016-12-29 0:00,9697.762667,5912.05,2.01,71486.67,176484.2,14.04,1.19,0.47,4.6,2,-8.06,1
sk_13,2016-09-30 0:00,9536.375667,10805.08,2.1,70895.82,175812.49,7.37,1.15,0.45,3.82,55.43,28.04,1
sk_14,2016-06-30 0:00,9333.638667,11487.84,2.37,68827.11,144113,6.18,1.04,0.44,3.73,39.59,37.43,0
sk_15,2016-03-31 0:00,9982.505,11727.98,1.38,69219.12,131291.25,5.97,1.05,0.53,4.49,29.53,33.41,1
sk_16,2015-12-30 0:00,9554.530333,11727.98,1.38,69219.12,131291.25,5.95,1.04,0.53,4.47,29.53,33.41,0
sk_17,2015-09-30 0:00,10558.32367,7039.94,1.32,57178.76,121928.89,10.41,1.29,0.6,5.3,-12.84,63.61,1
sk_18,2015-06-30 0:00,9091.695333,3660.17,1.24,48712.74,180921.83,14.48,1.33,0.38,5.56,2.3,3.82,0
sk_19,2015-03-31 0:00,11071.72567,3602,2.16,48623.48,180910.41,18.19,1.35,0.36,6.65,-0.8,-8.95,1
sk_20,2014-12-30 0:00,11026.743,3602,1.3,48623.48,180910.41,17.89,1.33,0.36,6.58,-0.8,-8.95,0
sk_21,2014-09-30 0:00,11601.18667,3744.84,1.24,47053.51,181917.21,18.05,1.45,0.37,6.76,-2.74,-23.34,0
sk_22,2014-06-30 0:00,13766.44533,3758.39,1.32,46593.44,184656.37,15.47,1.39,0.35,6.19,-6.81,1.79,0
sk_23,2014-03-31 0:00,14003.41167,4595.28,1.52,46411.76,188510.77,12.38,1.22,0.3,5.08,-6.46,17.13,1
sk_24,2013-12-30 0:00,13433.74733,4595.28,1.48,46411.76,188510.77,12.69,1.26,0.31,5.17,-6.46,17.13,0
sk_25,2013-09-30 0:00,14651.99233,3924.65,1.61,45625,192032.16,13.7,1.19,0.28,5.21,-5.82,168.05,1
sk_26,2013-06-28 0:00,13051.656,2806.56,1.69,43156.82,196737.35,21.1,1.19,0.26,5.65,1.96,-10.11,1
sk_27,2013-03-29 0:00,12261.957,2146.19,1.61,42943,199655.06,24.18,1.19,0.26,5.78,6.23,-10.25,0
sk_28,2012-12-28 0:00,12846.53533,2146.19,1.66,42943,199655.06,23.55,1.16,0.25,5.68,6.23,-10.25,0
sk_29,2012-09-28 0:00,13924.16433,3276.29,1.75,42432.63,200044.45,14.87,1.11,0.24,4.61,7.35,-59.41,0
sk_30,2012-06-29 0:00,14347.65067,10429.02,1.93,69785.39,353861.66,9.56,1,0.23,3.74,8.29,60.29,0
sk_31,2012-03-30 0:00,15548.272,10695.09,2.23,68789.9,114630.95,6.53,1.02,0.42,9.46,15.55,24.78,1
sk_32,2011-12-29 0:00,14218.31433,10695.09,2.4,68789.9,114630.95,6.07,0.95,0.4,9.08,15.55,24.78,0
sk_33,2011-09-30 0:00,14556.122,7932.23,2.24,64119.48,111168.07,8.81,1.09,0.41,8.19,14.46,2.09,0
sk_34,2011-06-30 0:00,16118.15333,6050.78,1.88,57476.29,135655.58,10.75,1.32,0.54,7.51,16.25,284.22,1
sk_35,2011-03-31 0:00,15519.313,4719.74,1.9,57416.02,130684.69,16.7,1.4,0.6,8.57,9.81,40.3,1
sk_36,2010-12-30 0:00,12726.086,4719.74,1.98,57416.02,130684.69,16.07,1.35,0.58,8.3,9.81,40.3,1
sk_37,2010-09-30 0:00,11140.297,4267.69,2.21,55807.88,128028.48,15.89,1.24,0.53,8.08,15.76,46.56,1
